N,P,K,ph,humidity,temperature,rainfall,crop,yield,price
16.8932409245189,62.87919939162745,27.205439573896676,6.388652707747548,54.34838935261068,14.147970571835334,55.06881057215802,Lentil,1.227,6210.7
20.71878520853386,65.44343280348731,31.223885936955938,7.95849655740397,53.99585953497192,13.595323994453366,69.29618352084016,Lentil,1.393,5570.5
106.64954433875002,35.30589636281747,119.72764093125494,5.7369195586326525,88.0832736791215,24.998250393598372,179.14022662882448,Banana,42.018,1185.0
65.44326005060789,36.38928714137897,85.1319732003342,7.499849653666353,68.70582662990664,28.709021642874383,181.1106055320401,Mango,13.639,3475.3
78.09490515007133,33.00142544344823,72.94582621493677,7.439144103673117,65.92308936527716,30.900569164754884,130.40752034953366,Mango,8.428,3239.6
23.51149639117024,53.005317136010575,34.13331064993262,7.637475980909304,33.11535519268803,23.43780778835289,74.8754417554177,Chickpea,1.752,5233.9
57.51729373658833,32.70572276903068,59.31667381722036,6.227760787253766,62.58192699719267,29.021629323939692,112.60335394031111,Mango,10.463,2854.5
80.41893571282088,49.12183391594499,43.216404760374,6.728303905780708,63.43326522114414,29.58533171535344,60.053814495131576,Maize,5.077,1729.4
115.19610424427363,50.93882168367793,53.13053721179819,5.511194710625829,65.56716549143565,28.05295425681205,99.84243317706922,Maize,6.563,1724.8
65.33075669349955,22.984886785419143,38.125218145177755,6.2419213244769844,51.96744187988497,28.38235253899351,44.1671320427897,Cotton,2.265,5567.5
52.401360960498,44.35903227172405,46.01456453003366,7.346016332577354,51.174110560191686,28.92852032233145,65.7976947198369,Cotton,1.677,5833.1
106.94527743011463,40.674911360029824,120.93358260235946,6.94965221512648,77.26002899965123,22.808914244479148,239.76140083423854,Banana,25.759,1363.0
112.8812898337481,51.082148978687606,107.56220434684508,6.9436763679514,73.05316329081568,30.65259899885241,251.60127691222746,Sugarcane,60.977,294.0
59.950932872872315,46.2281607977455,65.31541226580737,5.955397426851652,77.91818277462981,20.123268477826578,80.93076654852976,Grapes,19.268,5648.5
112.36509156520802,42.8191812970347,138.36259841368317,6.34028883135135,75.07932796624445,24.991180296520515,211.13530307751418,Banana,35.457,1022.8
131.74604780846943,58.84499037711442,74.80484524004285,6.675142902886289,70.44268902058994,29.610653370908324,212.08890870788832,Sugarcane,70.802,275.4
70.30062680941096,49.54056661745717,88.52446792506481,7.431900410225147,70.28652957819718,29.210602455197705,170.65445711903095,Mango,14.162,3702.5
99.05264214283164,45.98873359654006,39.73001259346127,5.999502869587297,90.04230432797286,34.92381169587518,249.2758784774068,Rice,4.616,2138.4
68.95696578862962,34.36106602552357,59.306607718404976,6.084028200881468,75.56251322573044,33.83376231071419,166.93525079016942,Mango,11.256,2846.8
24.51902729880633,51.92881560152533,38.22085367805759,6.882720157371243,38.46599236716171,12.989135815103245,35.573516002487324,Lentil,0.986,5358.5
45.41612474072078,30.727985770593797,30.039959690677705,7.108586927554228,77.78675224042897,29.541952943187482,121.92713850692155,Grapes,17.488,5584.7
